Name: Samuel Steinberg
CS420 Project 4: Genetic Algorithms
Experiments are conducted with the parameters listed above the runs

Number of Genes:,,20
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
4,0.616813,0.988077,13,'11110111101010010101
5,0.631252,0.950098,12,'11110101101100010110
6,0.609983,0.988067,13,'11111001101101010110
7,0.599782,0.950681,15,'11110111101101110110
8,0.565562,0.988671,15,'11111110101100111101
9,0.676971,0.988671,15,'11110111101101110110
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0463666,0.50448,12,'11101110000100111101
1,0.213379,0.964244,13,'11101111010110011010
2,0.35809,0.977449,11,'11101111000100011100
3,0.445433,0.977449,11,'11101011000100011110
4,0.499886,0.977617,14,'11111111010010111100
5,0.602798,0.97744,13,'10111111010010111100
6,0.635668,0.97492,14,'11101111010010011111
7,0.658726,0.976076,14,'11111111010100011110
8,0.73925,0.979694,10,'11110010010110011000
9,0.782634,0.992984,14,'11111111010010011011
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0601643,0.419084,13,'10111011011010101110
1,0.226754,0.706139,13,'11100101011111010101
2,0.37032,0.810746,15,'11100111001111101111
3,0.524815,0.817689,14,'11111010111001110011
4,0.564011,0.837272,17,'11101111001111111111
5,0.565032,0.980387,15,'11010111001111101111
6,0.609784,0.980405,17,'11111010111111110111
7,0.56381,0.999943,13,'11110011101011100101
8,0.664303,0.999981,15,'11110110100111111110
9,0.813351,0.995071,14,'11111110001111010011
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0883921,0.683098,14,'11101101011011011101
1,0.289134,0.694121,11,'11110110011010011000
2,0.458842,0.740397,8,'11100100110001000001
3,0.553426,0.770747,9,'11110100110101000000
4,0.599384,0.902874,11,'11110001011011000110
5,0.565888,0.849494,10,'01110110110001010010
6,0.593361,0.977496,12,'11110100111000101110
7,0.584759,0.955466,12,'11110111011010110000
