Name: Samuel Steinberg,,,
"CS420 Project 2 -- February 16th, 2018",,,
Description: The following are the averages over 4 trial runs for each of the listed parameters,,,
,,,
"Experiment 0 Rules: j1=1, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
"Experiment 17 Rules: j1=1, j2=-0.1, r1=3, r2=5, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.567915326,1.410479324,1
1,1.386526232,0.591868418,0.771109877
2,1.505078507,0.473316143,0.606665432
3,1.562198044,0.416196606,0.428887654
4,1.56595698,0.41243767,0.282220988
5,1.543857246,0.434537404,0.163998765
6,1.515547834,0.462846816,0.080739506
7,1.490549706,0.487844944,0.02444321
8,1.472633402,0.505761248,0.01055679
9,1.461961417,0.516433232,0.029877778
10,1.455758808,0.522635842,0.040667901
11,1.452950719,0.525443931,0.04545578
12,1.450473993,0.527920657,0.049630864
13,1.451930624,0.526464025,0.047180722
14,1.454105867,0.524288783,0.043493298
,,,
"Experiment 18 Rules: j1=1, j2=-0.1, r1=3, r2=5, h=1",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.484972382,0.165436619,1
1,0.216557772,0.10297799,0.977776543
2,0.240361919,0.079173844,0.962220988
3,0.25915838,0.060377382,0.945183951
4,0.269635437,0.049900325,0.931109877
5,0.274853852,0.04468191,0.917332099
6,0.274302272,0.04523349,0.909628395
7,0.272064786,0.047470976,0.906665432
8,0.272064786,0.047470976,0.906665432
9,0.272064786,0.047470976,0.906665432
10,0.272064786,0.047470976,0.906665432
11,0.272064786,0.047470976,0.906665432
12,0.272064786,0.047470976,0.906665432
13,0.272064786,0.047470976,0.906665432
14,0.272064786,0.047470976,0.906665432
,,,
"Experiment 19 Rules: j1=1, j2=-0.1, r1=3, r2=9, h=-6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.525345723,0.601656863,1
1,0.793802477,0.333200109,0.879998765
2,0.877354905,0.249647681,0.782220988
3,0.915167175,0.211835411,0.687406173
4,0.917417979,0.209584607,0.603887654
5,0.898972919,0.228029667,0.543998765
6,0.880451292,0.246551294,0.512961728
7,0.872766656,0.25423593,0.503173369
8,0.875634632,0.251367954,0.506665432
9,0.882487576,0.24451501,0.515801235
10,0.889182628,0.237819958,0.525998765
11,0.894347441,0.232655145,0.53494826
12,0.898290692,0.228711894,0.542591358
13,0.901087897,0.225914689,0.548545774
14,0.902700766,0.22430182,0.552220988
,,,
"Experiment 20 Rules: j1=1, j2=-0.1, r1=3, r2=9, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.561999197,1.29807287,1
1,1.348396578,0.511675489,0.737776543
2,1.454669728,0.405402339,0.54444321
3,1.478212775,0.381859293,0.339998765
4,1.434025414,0.426046653,0.153887654
5,1.356635847,0.50343622,0.007109877
6,1.29910696,0.560965107,0.071112346
7,1.290736788,0.569335279,0.081271076
8,1.322592726,0.537479342,0.041112346
9,1.367795653,0.492276415,0.02444321
10,1.407070309,0.453001759,0.093998765
11,1.429010159,0.431061908,0.141614927
12,1.436425561,0.423646507,0.159998765
13,1.432429835,0.427642232,0.149913295
14,1.422406689,0.437665378,0.126347972
,,,
"Experiment 21 Rules: j1=1, j2=-0.1, r1=3, r2=9, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568944292,1.43002967,1
1,1.448970165,0.550003797,0.713332099
2,1.559277105,0.439696857,0.50444321
3,1.581553727,0.417420235,0.276295062
4,1.533999213,0.464974749,0.078887654
5,1.454810447,0.544163515,0.079112346
6,1.390588311,0.608385651,0.172964198
7,1.367392272,0.63158169,0.202858377
8,1.389470275,0.609503687,0.174445679
9,1.433054621,0.56591934,0.113087654
10,1.474775183,0.524198779,0.045334568
11,1.503960775,0.495013187,0.010099776
12,1.519895041,0.479078921,0.044628395
13,1.525794313,0.473179649,0.058460304
14,1.522897105,0.476076857,0.051586067
,,,
"Experiment 22 Rules: j1=1, j2=-0.1, r1=3, r2=9, h=3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.562696576,1.311323074,1
1,1.358325434,0.515694217,0.735554321
2,1.464979652,0.409039999,0.541109877
3,1.488296922,0.385722729,0.329628395
4,1.442423302,0.431596348,0.142220988
5,1.359573894,0.514445756,0.012001235
6,1.283710362,0.590309289,0.110741975
7,1.259214829,0.614804821,0.138096473
8,1.285790329,0.588229321,0.108334568
9,1.3419363,0.532083351,0.037285185
10,1.394610596,0.479409055,0.044220988
11,1.43186225,0.442157401,0.117372503
12,1.4513852,0.422634451,0.165554321
13,1.457679959,0.416339692,0.183588509
14,1.455820417,0.418199234,0.178094004
,,,
"Experiment 23 Rules: j1=1, j2=-0.1, r1=3, r2=9, h=6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.536268633,0.809192146,1
1,0.957613689,0.38784709,0.842220988
2,1.051586277,0.293874502,0.715554321
3,1.087500579,0.2579602,0.589628395
4,1.077214475,0.268246304,0.477220988
5,1.039097839,0.30636294,0.390665432
6,0.999786877,0.345673902,0.339998765
7,0.978583643,0.366877136,0.319998765
8,0.980534463,0.364926316,0.321665432
9,1.000727138,0.344733641,0.34098642
10,1.024351405,0.321109374,0.369109877
11,1.04496821,0.300492569,0.400402806
12,1.05941119,0.286049589,0.428332099
13,1.068242039,0.27721874,0.449571415
14,1.072896451,0.272564328,0.462855908
,,,
"Experiment 24 Rules: j1=1, j2=-0.1, r1=3, r2=14, h=-6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.567666006,1.405742237,1
1,1.363625531,0.609782711,0.791109877
2,1.483837991,0.489570252,0.639998765
3,1.550474994,0.422933248,0.472591358
4,1.564385995,0.409022248,0.314998765
5,1.539400114,0.434008129,0.163554321
6,1.48650943,0.486898812,0.026295062
7,1.420096596,0.553311646,0.089207584
8,1.359322049,0.614086194,0.172779012
9,1.319878047,0.653530196,0.220248148
10,1.307565285,0.665842957,0.234223457
11,1.322718807,0.650689435,0.216970932
12,1.362101593,0.61130665,0.169260494
13,1.409823207,0.563585036,0.104445679
14,1.45427732,0.519130922,0.034128219
,,,
"Experiment 25 Rules: j1=1, j2=-0.1, r1=3, r2=14, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568558782,1.422704983,1
1,1.368911663,0.622352102,0.795554321
2,1.485261524,0.506002241,0.655554321
3,1.556504987,0.434758778,0.496295062
4,1.578398669,0.412865096,0.339998765
5,1.560256626,0.431007139,0.184887654
6,1.507727402,0.483536363,0.03407284
7,1.431358429,0.559905336,0.102540917
8,1.348393045,0.64287072,0.214167901
9,1.296872536,0.694391229,0.273087654
10,1.285888553,0.705375212,0.284890123
11,1.30769752,0.683566244,0.261213356
12,1.353046448,0.638217317,0.208519753
13,1.407074955,0.58418881,0.137949953
14,1.460524238,0.530739527,0.05587425
,,,
"Experiment 26 Rules: j1=1, j2=-0.1, r1=3, r2=14, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568982769,1.430760744,1
1,1.38296879,0.616774723,0.786665432
2,1.502535338,0.497208175,0.635554321
3,1.570636919,0.429106595,0.462961728
4,1.584067231,0.415676283,0.303887654
5,1.559170492,0.440573021,0.15244321
6,1.508232992,0.491510522,0.017406173
7,1.444326543,0.55541697,0.097144092
8,1.383636252,0.616107262,0.183334568
9,1.342318622,0.657424892,0.234569136
10,1.328898823,0.67084469,0.250223457
11,1.339769262,0.659974251,0.237576992
12,1.374720976,0.625022537,0.194816049
13,1.419819108,0.579924405,0.133847388
14,1.462993987,0.536749526,0.066985362
,,,
"Experiment 27 Rules: j1=1, j2=-0.1, r1=3, r2=14, h=3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568652994,1.424495013,1
1,1.376976251,0.616171756,0.788887654
2,1.498501114,0.494646893,0.635554321
3,1.566125368,0.427022639,0.462961728
4,1.578555801,0.414592206,0.296109877
5,1.548711454,0.444436553,0.13644321
6,1.493319251,0.499828756,0.000369136
7,1.427574285,0.565573722,0.111429806
8,1.367671202,0.625476805,0.193334568
9,1.333871605,0.659276402,0.234322222
10,1.326090729,0.667057278,0.243334568
11,1.345132359,0.648015648,0.221011336
12,1.383230085,0.609917921,0.173334568
13,1.429271619,0.563876388,0.108890123
14,1.473920544,0.519227463,0.036032981
,,,
"Experiment 28 Rules: j1=1, j2=-0.1, r1=3, r2=14, h=6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.567192358,1.39674293,1
1,1.36516619,0.598769099,0.78444321
2,1.478684133,0.485251155,0.638887654
3,1.5454516,0.418483688,0.465924691
4,1.556557491,0.407377797,0.305554321
5,1.526450902,0.437484387,0.147998765
6,1.466036593,0.497898695,0.00481358
7,1.386932816,0.577002472,0.121271076
8,1.322198945,0.641736344,0.20305679
9,1.292047834,0.671887454,0.237038272
10,1.295025038,0.66891025,0.233779012
11,1.330637544,0.633297744,0.193132548
12,1.377511574,0.586423714,0.134075309
13,1.42725599,0.536679298,0.061881576
14,1.470910799,0.493024489,0.01412575
,,,
"Experiment 29 Rules: j1=1, j2=-0.1, r1=7, r2=9, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.468995594,0.468995594,1
1,0,0,0.999998765
2,0,0,0.999998765
3,0,0,0.999998765
4,0,0,0.999998765
5,0,0,0.999998765
6,0,0,0.999998765
7,0,0,0.999998765
8,0,0,0.999998765
9,0,0,0.999998765
10,0,0,0.999998765
11,0,0,0.999998765
12,0,0,0.999998765
13,0,0,0.999998765
14,0,0,0.999998765
,,,
"Experiment 30 Rules: j1=1, j2=-0.1, r1=7, r2=9, h=1",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568304847,1.417880214,1
1,1.178811017,0.807374043,0.928887654
2,1.285454217,0.700730844,0.862220988
3,1.366081392,0.620103669,0.795554321
4,1.428929261,0.5572558,0.728887654
5,1.477950713,0.508234347,0.662220988
6,1.51546178,0.47072328,0.595554321
7,1.542969051,0.44321601,0.528887654
8,1.56151571,0.424669351,0.462220988
9,1.571804305,0.414380755,0.396048148
10,1.57454222,0.41164284,0.329776543
11,1.570100659,0.416084402,0.263433109
12,1.558754807,0.427430254,0.197035802
13,1.540699493,0.445485568,0.130597056
14,1.51738455,0.46880051,0.067300353
,,,
"Experiment 31 Rules: j1=1, j2=-0.1, r1=7, r2=14, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.533739201,0.761132955,1
1,0.838424144,0.456448013,0.915554321
2,0.917420134,0.377452022,0.853332099
3,0.975824901,0.319047255,0.788146914
4,1.015977557,0.278894599,0.722220988
5,1.039746358,0.255125798,0.657776543
6,1.049306725,0.245565431,0.597035802
7,1.04672732,0.248144836,0.537141623
